"Components of population change (persons), Queensland, June quarter 1981 to September quarter 2023 (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Natural increase,Net overseas migration,Interstate arrivals,Interstate departures,Net interstate migration,Population change (b),Estimated resident population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,– persons –,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-81,"6,191","4,630","21,885","13,327","8,558",n.a.,"2,345,208",,,State,Dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-81,"4,920","4,541","22,662","10,922","11,740","22,269","2,367,477",,,,,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar,Jun,Sep,Dec,Mar
Dec-81,"4,756","4,514","20,492","10,364","10,128","20,466","2,387,943",,,,,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024
Mar-82,"6,331","4,008","19,383","12,378","7,005","18,412","2,406,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-82,"6,081","4,502","21,692","15,112","6,580","18,231","2,424,586",,,Queensland,Flat 1,$275,$270,$270,$265,$275,$271,$280,$275,$285,$280,$285,$285,$295,$280,$285,$290,$300,$290,$290,$300,$320,$300,$310,$310,$320,$300,$310,$320,$320,$310,$329,$320,$335,$310,$330,$330,$335,$330,$340,$350,$360,$350,$370,$380,$400,$410,$440,$430,$469
Sep-82,"4,827","4,244","19,773","11,589","8,184","18,326","2,442,912",,,Queensland,Flat 2,$330,$320,$330,$325,$340,$325,$330,$325,$340,$325,$330,$330,$345,$330,$340,$340,$350,$340,$350,$350,$360,$350,$350,$350,$370,$350,$360,$365,$385,$355,$370,$375,$390,$360,$390,$400,$400,$380,$420,$420,$440,$450,$465,$480,$500,$520,$550,$550,$580
Dec-82,"5,350","1,412","16,568","10,838","5,730","13,563","2,456,475",,,Queensland,Flat 3,$380,$375,$390,$380,$395,$380,$380,$375,$395,$370,$370,$370,$390,$365,$365,$360,$385,$360,$380,$375,$390,$370,$380,$380,$400,$380,$385,$385,$410,$380,$390,$390,$420,$395,$410,$420,$445,$425,$450,$460,$490,$500,$510,$520,$550,$550,$580,$580,$615
Mar-83,"6,857","1,876","14,644","11,214","3,430","13,234","2,469,709",,,Queensland,House 2,$290,$285,$290,$295,$300,$295,$295,$300,$300,$290,$290,$290,$300,$297,$290,$290,$295,$285,$290,$295,$300,$290,$295,$295,$300,$300,$300,$300,$310,$305,$300,$300,$315,$300,$310,$320,$330,$340,$340,$355,$370,$380,$390,$400,$420,$420,$430,$450,$450
Jun-83,"6,926","1,089","17,770","14,283","3,487","12,573","2,482,282",,,Queensland,House 3,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$345,$350,$350,$350,$350,$350,$350,$350,$350,$350,$360,$360,$360,$360,$370,$370,$360,$380,$390,$400,$380,$410,$430,$450,$450,$480,$490,$500,$500,$520,$540,$550
Sep-83,"5,906","1,187","15,529","12,597","2,932","11,091","2,493,373",,,Queensland,House 4,$410,$410,$410,$420,$420,$420,$420,$420,$420,$410,$410,$410,$410,$410,$410,$415,$415,$410,$410,$415,$420,$420,$410,$420,$420,$420,$420,$430,$430,$430,$430,$440,$440,$435,$450,$455,$465,$475,$490,$510,$530,$550,$575,$590,$600,$600,$620,$630,$650
Dec-83,"5,340",426,"13,103","10,023","3,080","9,912","2,503,285",,,Queensland,Townhouse 2,$310,$310,$305,$310,$320,$310,$315,$320,$320,$315,$320,$330,$330,$330,$330,$325,$330,$325,$335,$330,$340,$330,$330,$340,$340,$335,$345,$350,$345,$340,$345,$350,$350,$350,$350,$355,$360,$365,$370,$395,$400,$410,$420,$440,$450,$480,$480,$500,$520
Mar-84,"6,391",391,"14,810","12,500","2,310","10,158","2,513,443",,,Queensland,Townhouse 3,$370,$365,$360,$370,$375,$370,$375,$375,$375,$375,$375,$380,$380,$380,$380,$385,$390,$380,$385,$385,$390,$385,$390,$390,$390,$390,$395,$395,$400,$395,$400,$400,$400,$395,$400,$405,$415,$420,$430,$440,$450,$480,$500,$520,$540,$550,$560,$590,$600
Jun-84,"6,450","1,263","15,382","13,745","1,637","10,416","2,523,859",,,Queensland,Rooming Accommodation,$190,$170,$185,$170,$195,$180,$190,$175,$200,$180,$195,$175,$210,$185,$205,$180,$210,$185,$210,$200,$210,$210,$210,$199,$220,$215,$219,$215,$230,$220,$235,$239,$249,$210,$200,$195,$205,$199,$200,$225,$249,$240,$289,$279,$319,$299,$349,$309,$349
Sep-84,"5,113","2,196","16,000","12,317","3,683","12,117","2,535,976",,,Queensland,General Tenancies,$350,$350,$350,$350,$360,$350,$355,$355,$360,$350,$350,$355,$360,$355,$360,$360,$365,$355,$360,$360,$370,$360,$365,$370,$375,$370,$375,$380,$385,$380,$380,$390,$395,$380,$390,$400,$400,$410,$420,$440,$450,$460,$480,$500,$515,$530,$550,$560,$580
Dec-84,"5,097","1,241","15,180","11,541","3,639","11,102","2,547,078",,,Queensland,Queensland All dwellings,$342,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$360,$350,$350,$350,$360,$360,$360,$360,$360,$360,$360,$360,$370,$370,$365,$365,$380,$380,$370,$385,$395,$400,$385,$415,$430,$430,$450,$450,$485,$490,$510,$530,$550,$550
Mar-85,"5,767","2,081","16,687","13,286","3,401","12,374","2,559,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-85,"6,297","2,147","17,602","15,405","2,197","11,766","2,571,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-85,"4,500","2,639","17,852","13,840","4,012","12,150","2,583,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-85,"5,234","2,892","16,768","12,161","4,607","13,732","2,597,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-86,"5,512","2,733","18,282","14,421","3,861","13,105","2,610,205",,,,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-86,"6,533","3,118","19,112","15,092","4,020","14,390","2,624,595",,,"Australian Dollar, Millions",i,,"168,774.8 ",,"177,516.5 ",,"186,526.5 ",,"195,823.8 ",,"202,295.2 ",,"222,266.5 ",(E),"244,521.7 ",(E),"249,168.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-86,"5,345","3,418","18,230","14,073","4,157","11,882","2,636,477",,,,,,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
